,amt,state,city_pop,job,is_fraud,month,age
811778,86.19,4,92043,85,0,12,58.657534246575345
1101718,85.81,24,1019,15,0,4,41.21369863013699
800013,99.3,38,184,444,0,12,74.13150684931507
398945,42.09,26,743,489,0,6,47.18630136986302
207455,4.24,42,87124,486,0,4,32.18630136986302
564452,72.75,46,970,16,0,8,25.92876712328767
347018,7.87,29,73,356,0,6,84.3917808219178
245997,5.53,38,139,328,0,5,64.98356164383561
213552,89.91,19,47249,284,0,4,38.43013698630137
156002,38.72,45,1051,77,0,3,42.364383561643834
132116,24.82,37,917,384,0,3,23.695890410958903
245471,2.64,16,215,353,0,5,50.47671232876712
371279,43.09,43,2807,82,0,6,88.46027397260274
574032,99.9,38,632,120,0,9,30.41917808219178
1238238,1.18,10,10295,453,0,5,22.443835616438356
1046452,47.64,4,973849,215,0,3,23.153424657534245
1199703,5.39,9,217,459,0,5,30.328767123287673
1237624,23.78,4,11256,344,0,5,47.64931506849315
1055426,73.62,35,47772,183,0,3,54.227397260273975
574658,3.34,20,11751,90,0,9,55.58082191780822
706982,32.11,33,276896,242,0,10,22.643835616438356
502007,42.32,46,970,16,0,8,25.865753424657534
365517,8.83,40,1523,395,0,6,35.06301369863014
700474,28.54,24,1631,31,0,10,66.8082191780822
1037895,11.52,49,836,200,0,3,38.54520547945206
1088366,62.79,17,467,371,0,3,35.83835616438356
1205869,99.16,43,2457,477,0,5,39.23561643835617
1072884,50.7,2,222,365,0,3,56.88219178082192
1219428,211.6,31,71485,268,0,5,45.88219178082192
1224644,111.58,9,50835,178,0,5,34.342465753424655
217535,46.14,14,725,178,0,4,46.42191780821918
813814,15.12,21,3224,164,0,12,22.306849315068494
442403,28.15,43,1263321,125,0,7,66.84109589041095
779258,66.93,42,391389,124,0,11,25.624657534246577
584313,21.08,12,1132,353,0,9,58.59178082191781
107939,95.58,1,1089,286,0,3,47.364383561643834
439896,70.09,38,2303,339,0,7,31.934246575342467
988905,4.21,18,71335,222,0,2,25.706849315068492
681186,6.89,30,1368,321,0,10,48.23287671232877
407356,7.68,4,92043,85,0,7,58.227397260273975
438389,55.47,15,1228,113,0,7,28.356164383561644
1146716,20.3,35,2644,19,0,4,39.31780821917808
1015960,18.84,1,653,326,0,2,53.71780821917808
568848,15.1,41,355,194,0,8,64.22191780821917
769236,406.3,34,4895,5,0,11,61.11506849315069
445409,108.94,34,277,216,0,7,47.62739726027397
1248819,274.92,34,45100,22,0,6,26.627397260273973
1134594,380.77,43,106,141,0,4,36.75890410958904
127722,135.83,18,54185,386,0,3,26.32054794520548
1254655,9.93,5,151815,205,0,6,32.443835616438356
348964,87.49,38,21125,8,0,6,34.07397260273972
430423,60.73,24,519,474,0,7,53.443835616438356
1041986,103.92,29,73,356,0,3,85.13150684931507
1045656,6.1,31,504,162,0,3,39.586301369863016
212229,67.49,43,1563,194,0,4,41.15068493150685
112549,24.99,43,144160,432,0,3,34.85479452054795
570402,14.68,31,71485,268,0,8,45.14520547945205
1243074,9.32,20,626,151,0,6,59.50958904109589
270070,1.83,2,4074,408,0,5,43.42465753424658
870069,30.28,37,60,301,0,12,77.76712328767124
1002693,8.17,49,836,200,0,2,38.49041095890411
667257,25.85,27,5621,475,0,10,45.93698630136986
753459,47.96,3,1312922,112,0,11,19.980821917808218
599847,241.74,48,5196,81,0,9,41.66301369863014
126991,8.97,12,9165,292,0,3,55.83835616438356
78159,136.48,38,6508,478,0,2,37.679452054794524
899353,5.62,48,13973,275,0,12,38.66575342465753
787844,2.73,48,9594,418,0,12,22.035616438356165
327030,43.56,43,1766,349,0,6,43.45205479452055
555637,154.56,29,331,456,0,8,69.06301369863014
527500,59.59,4,94014,21,0,8,34.00547945205479
478507,5.24,38,2303,339,0,7,31.96986301369863
1015576,3.6,31,13835,366,0,2,52.778082191780825
1115863,66.07,38,168,383,0,4,41.54246575342466
1270537,30.46,24,760,362,0,6,34.8027397260274
81169,74.78,22,95,147,0,2,25.03835616438356
789255,42.21,34,239,385,0,12,63.62465753424657
377837,20.51,29,1063,393,0,6,91.28493150684932
500467,79.31,26,743,489,0,8,47.28493150684932
1167467,7.76,42,391389,124,0,5,26.046575342465754
703197,16.03,43,4090,436,0,10,42.62465753424657
453431,5.01,38,489,330,0,7,62.88493150684931
195646,68.9,24,602,115,0,4,64.78630136986301
961751,32.48,2,4074,408,0,1,44.12054794520548
664004,57.61,5,61,378,0,10,79.98630136986301
